INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('1', '2', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('2', '28', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('2', '32', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('2', '34', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('2', '38', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('2', '39', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('2', '41', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('2', '48', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('2', '50', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('2', '56', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('2', '63', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('2', '66', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('2', '70', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('2', '73', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('2', '75', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('2', '76', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('2', '78', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('2', '83', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('2', '85', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('2', '87', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('3', '7', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('3', '11', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('3', '15', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('3', '21', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('3', '25', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('3', '26', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('3', '37', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('3', '40', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('3', '45', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('3', '53', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('3', '59', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('3', '63', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('3', '64', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('3', '68', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('3', '75', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('3', '77', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('3', '81', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('3', '82', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('3', '83', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('3', '90', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('3', '96', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('3', '98', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('4', '2', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('4', '3', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('4', '7', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('4', '8', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('4', '14', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('4', '15', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('4', '22', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('4', '27', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('4', '28', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('4', '31', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('4', '33', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('4', '38', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('4', '42', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('4', '49', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('4', '58', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('4', '69', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('4', '70', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('4', '72', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('4', '74', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('4', '77', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('4', '83', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('4', '93', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('4', '96', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('4', '100', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('5', '3', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('5', '8', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('5', '11', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('5', '21', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('5', '27', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('5', '30', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('5', '40', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('5', '51', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('5', '54', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('5', '61', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('5', '67', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('5', '68', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('5', '69', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('5', '72', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('5', '73', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('5', '79', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('5', '80', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('5', '83', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('5', '84', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('5', '87', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('5', '88', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('5', '90', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('5', '92', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('5', '93', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('5', '100', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('6', '5', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('6', '6', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('6', '8', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('6', '9', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('6', '19', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('6', '20', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('6', '22', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('6', '23', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('6', '27', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('6', '31', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('6', '40', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('6', '46', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('6', '47', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('6', '50', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('6', '55', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('6', '57', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('6', '58', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('6', '59', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('6', '64', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('6', '68', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('6', '73', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('6', '82', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('6', '87', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('6', '91', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('6', '92', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('6', '93', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('6', '94', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('6', '95', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('6', '96', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('7', '7', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('7', '10', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('7', '14', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('7', '18', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('7', '19', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('7', '21', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('7', '24', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('7', '29', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('7', '41', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('7', '47', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('7', '52', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('7', '53', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('7', '56', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('7', '58', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('7', '59', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('7', '61', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('7', '62', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('7', '64', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('7', '74', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('7', '75', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('7', '81', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('7', '83', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('7', '85', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('7', '87', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('7', '88', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('7', '89', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('7', '90', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('7', '92', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('7', '93', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('7', '94', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('7', '99', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('8', '2', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('8', '3', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('8', '4', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('8', '7', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('8', '11', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('8', '18', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('8', '19', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('8', '27', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('8', '28', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('8', '32', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('8', '36', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('8', '39', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('8', '44', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('8', '45', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('8', '47', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('8', '52', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('8', '53', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('8', '54', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('8', '57', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('8', '60', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('8', '66', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('8', '67', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('8', '68', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('8', '73', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('8', '78', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('8', '81', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('8', '90', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('8', '91', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('8', '95', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('8', '98', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('9', '2', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('9', '4', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('9', '5', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('9', '9', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('9', '19', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('9', '21', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('9', '24', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('9', '31', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('9', '33', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('9', '34', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('9', '37', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('9', '41', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('9', '45', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('9', '50', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('9', '51', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('9', '57', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('9', '62', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('9', '68', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('9', '69', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('9', '70', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('9', '71', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('9', '78', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('9', '81', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('9', '82', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('9', '88', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('9', '91', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('9', '94', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('10', '2', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('10', '4', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('10', '8', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('10', '9', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('10', '11', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('10', '18', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('10', '22', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('10', '24', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('10', '28', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('10', '32', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('10', '36', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('10', '37', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('10', '40', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('10', '41', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('10', '45', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('10', '46', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('10', '47', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('10', '57', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('10', '61', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('10', '67', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('10', '71', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('10', '80', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('10', '81', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('10', '83', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('10', '84', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('10', '89', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('11', '1', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('11', '4', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('11', '6', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('11', '8', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('11', '12', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('11', '14', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('11', '16', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('11', '20', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('11', '23', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('11', '25', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('11', '32', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('11', '34', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('11', '35', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('11', '40', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('11', '49', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('11', '56', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('11', '59', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('11', '61', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('11', '64', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('11', '77', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('11', '84', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('11', '87', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('11', '95', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('11', '97', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('11', '99', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('12', '2', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('12', '6', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('12', '7', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('12', '8', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('12', '9', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('12', '12', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('12', '13', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('12', '17', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('12', '18', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('12', '21', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('12', '22', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('12', '23', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('12', '26', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('12', '28', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('12', '29', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('12', '36', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('12', '37', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('12', '41', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('12', '44', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('12', '52', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('12', '55', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('12', '62', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('12', '65', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('12', '66', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('12', '68', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('12', '74', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('12', '77', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('12', '84', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('12', '85', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('12', '93', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('13', '3', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('13', '4', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('13', '7', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('13', '9', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('13', '12', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('13', '18', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('13', '37', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('13', '43', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('13', '47', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('13', '54', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('13', '55', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('13', '58', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('13', '61', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('13', '64', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('13', '65', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('13', '70', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('13', '72', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('13', '77', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('13', '78', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('13', '87', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('13', '95', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('13', '98', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('13', '99', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('14', '3', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('14', '4', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('14', '6', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('14', '10', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('14', '14', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('14', '15', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('14', '17', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('14', '18', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('14', '19', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('14', '25', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('14', '26', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('14', '27', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('14', '33', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('14', '36', '3');
